ticket,symbol,action,volume,price,time,result,close_price,close_time,profit,mfe,mae,chat_id
1152424175,ETHUSDm,BUY,0.15,0.0,2026-01-18 11:32:47,CLOSED,3315.0,2026-01-18 11:32:47,1.49,0.0,0.0,
1152372990,ETHUSDm,BUY,0.15,0.0,2026-01-17 23:19:11,CLOSED,3315.0,2026-01-17 23:19:11,1.22,0.0,0.0,
1152358242,ETHUSDm,BUY,0.15,0.0,2026-01-17 22:14:55,CLOSED,3305.0,2026-01-17 22:14:55,0.59,0.0,0.0,
1152357239,ETHUSDm,BUY,0.15,0.0,2026-01-17 22:14:55,CLOSED,3305.0,2026-01-17 22:14:55,0.38,0.0,0.0,
1152350797,ETHUSDm,SELL,0.1,0.0,2026-01-17 18:43:58,CLOSED,3296.17,2026-01-17 18:43:58,-0.18,0.0,0.0,
125065277,GOLD,BUY,0.15,0.0,2026-01-20 13:51:35,CLOSED,4707.88,2026-01-20 13:51:35,13.95,0.0,0.0,
125064252,GOLD,SELL,0.01,0.0,2026-01-20 13:47:43,CLOSED,4706.77,2026-01-20 13:47:43,-3.46,0.0,0.0,
125062495,GOLD,SELL,0.17,0.0,2026-01-20 13:47:36,CLOSED,4706.68,2026-01-20 13:47:36,-116.62,0.0,0.0,
125061648,GOLD,BUY,0.18,0.0,2026-01-20 13:32:00,CLOSED,4699.83,2026-01-20 13:32:00,85.32,0.0,0.0,
125061173,GOLD,BUY,0.18,0.0,2026-01-20 13:31:53,CLOSED,4699.61,2026-01-20 13:31:53,41.76,0.0,0.0,
125057834,EURUSD,BUY,0.18,0.0,2026-01-20 13:12:17,CLOSED,1.16697,2026-01-20 13:12:17,4.86,0.0,0.0,
125051613,GOLD,BUY,0.25,0.0,2026-01-20 12:35:43,CLOSED,4690.0,2026-01-20 12:35:43,87.0,0.0,0.0,
125049188,GOLD,BUY,0.22,0.0,2026-01-20 12:23:51,CLOSED,4682.79,2026-01-20 12:23:51,35.2,0.0,0.0,
125047670,GOLD,BUY,0.18,0.0,2026-01-20 11:51:21,CLOSED,4680.44,2026-01-20 11:51:21,49.68,0.0,0.0,
125044845,GOLD,BUY,0.18,0.0,2026-01-20 11:34:11,CLOSED,4675.0,2026-01-20 11:34:11,42.48,0.0,0.0,
125044117,GOLD,BUY,0.15,0.0,2026-01-20 11:15:05,CLOSED,4671.02,2026-01-20 11:15:05,63.6,0.0,0.0,
125043121,GOLD,BUY,0.15,0.0,2026-01-20 11:15:01,CLOSED,4671.27,2026-01-20 11:15:01,38.1,0.0,0.0,
125040747,GOLD,BUY,0.15,0.0,2026-01-20 10:45:06,CLOSED,4673.66,2026-01-20 10:45:06,81.3,0.0,0.0,
125006367,GOLD,BUY,0.18,0.0,2026-01-20 00:10:52,CLOSED,4673.76,2026-01-20 00:10:52,-9.54,0.0,0.0,
124995094,EURUSD,SELL,0.18,0.0,2026-01-19 23:51:39,CLOSED,1.16384,2026-01-19 23:51:39,-3.7800000000000002,0.0,0.0,
124991479,GOLD,BUY,0.15,0.0,2026-01-19 23:51:39,CLOSED,4671.31,2026-01-19 23:51:39,46.05,0.0,0.0,
124988658,GOLD,BUY,0.15,0.0,2026-01-19 22:18:54,CLOSED,4666.93,2026-01-19 22:18:54,7.95,0.0,0.0,
124983832,GOLD,BUY,0.15,0.0,2026-01-19 22:18:50,CLOSED,4667.01,2026-01-19 22:18:50,30.15,0.0,0.0,
124980785,EURUSD,SELL,0.12,0.0,2026-01-19 23:51:39,CLOSED,1.16384,2026-01-19 23:51:39,-9.48,0.0,0.0,
124971054,NZDCAD,SELL,0.01,0.0,2026-01-19 23:51:39,CLOSED,0.80303,2026-01-19 23:51:39,0.01,0.0,0.0,
124967157,GOLD,SELL,0.01,0.0,2026-01-19 19:07:04,CLOSED,4663.77,2026-01-19 19:07:04,-2.21,0.0,0.0,
124967155,GOLD,SELL,0.01,0.0,2026-01-19 19:07:00,CLOSED,4663.73,2026-01-19 19:07:00,-2.17,0.0,0.0,
124963620,EURUSD,BUY,0.12,0.0,2026-01-19 20:32:25,CLOSED,1.16303,2026-01-19 20:32:25,10.68,0.0,0.0,
124963617,EURUSD,BUY,0.12,0.0,2026-01-19 20:32:22,CLOSED,1.16303,2026-01-19 20:32:22,8.88,0.0,0.0,
