ticket,symbol,action,volume,price,time,result,close_price,close_time,profit,mfe,mae,chat_id
121009862,GOLD,BUY,0.01,0.0,2025-12-22 08:51:42,CLOSED,4363.4,2025-12-22 08:51:42,0.0,0.0,0.0,
121020843,GOLD,BUY,0.01,0.0,2025-12-22 09:39:37,CLOSED,4377.48,2025-12-22 09:39:37,7.98,0.0,0.0,
121027853,GOLD,BUY,0.01,0.0,2025-12-22 10:29:20,CLOSED,4379.7,2025-12-22 10:29:20,0.0,0.0,0.0,
121033013,GOLD,BUY,0.01,0.0,2025-12-22 10:52:01,CLOSED,4387.48,2025-12-22 10:52:01,1.92,0.0,0.0,
121038706,GOLD,BUY,0.01,0.0,2025-12-22 11:39:27,CLOSED,4390.48,2025-12-22 11:39:27,1.41,0.0,0.0,
121045504,GOLD,BUY,0.01,0.0,2025-12-22 12:23:59,CLOSED,4394.19,2025-12-22 12:23:59,0.52,0.0,0.0,
121049083,GOLD,BUY,0.01,0.0,2025-12-22 12:56:09,CLOSED,4397.95,2025-12-22 12:56:09,-0.2,0.0,0.0,
121054133,GOLD,BUY,0.01,0.0,2025-12-22 13:43:02,CLOSED,4397.62,2025-12-22 13:43:02,-5.24,0.0,0.0,
121064449,GOLD,BUY,0.01,0.0,2025-12-22 14:42:33,CLOSED,4404.48,2025-12-22 14:42:33,0.0,0.0,0.0,
121073401,GOLD,BUY,0.01,0.0,2025-12-22 15:25:35,CLOSED,4416.24,2025-12-22 15:25:35,1.07,0.0,0.0,
121079559,GOLD,BUY,0.01,0.0,2025-12-22 16:10:35,CLOSED,4413.4,2025-12-22 16:10:35,-0.89,0.0,0.0,
121083626,GOLD,SELL,0.01,0.0,2025-12-22 17:12:14,CLOSED,4412.31,2025-12-22 17:12:14,0.0,0.0,0.0,
121090673,GOLD,SELL,0.01,0.0,2025-12-22 17:12:53,CLOSED,4413.17,2025-12-22 17:12:53,-4.97,0.0,0.0,
121105141,GOLD,BUY,0.01,0.0,2025-12-22 19:00:22,CLOSED,4408.6,2025-12-22 19:00:22,-0.56,0.0,0.0,
121116908,USDCHF,BUY,0.01,0.0,2025-12-29 15:01:04,CLOSED,0.78969,2025-12-29 15:01:04,-4.54,0.0,0.0,
121147875,EURUSD,SELL,0.01,0.0,2025-12-29 15:01:04,CLOSED,1.17713,2025-12-29 15:01:04,-0.78,0.0,0.0,
